Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot7,"Пафнутий Зуко (IhanaMies)",normal,1,Completed,"Underground North","Underground North: Objective #2","1","17:34:26","17:34:30",
Bot7,"Пафнутий Зуко (IhanaMies)",normal,1,Completed,"Underground North","Underground North: Objective #3","1","17:34:35","17:34:46",
Bot7,"Пафнутий Зуко (IhanaMies)",normal,1,Completed,"Underground North","Underground North: Objective #4","2","17:34:51","17:35:18",
Bot7,"Пафнутий Зуко (IhanaMies)",normal,1,Completed,"Underground North","Underground North: Objective #5","1","17:35:23","17:35:51",
Bot7,"Пафнутий Зуко (IhanaMies)",normal,1,Completed,"Underground North","Underground North: Objective #6","1","17:35:56","17:36:09",
Bot7,"Пафнутий Зуко (IhanaMies)",normal,1,Completed,"Underground North","Underground North: Objective #8","1","17:36:14","17:36:38",
Bot7,"Пафнутий Зуко (IhanaMies)",normal,1,Completed,"Underground North","Underground North: Objective #7","2","17:36:43","17:37:20",
Bot7,"Пафнутий Зуко (IhanaMies)",normal,1,Completed,"Underground North","Underground North: Objective #1","1","17:37:25","17:37:47",
Bot7,"Пафнутий Зуко (IhanaMies)",normal,1,Active,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","17:37:53","N/A",
Bot12,"Авдей Дипишмот (Junko Space Mommy)",hard,1,Failed,"Underground North","Underground North: Objective #1","1","17:37:07","17:37:23",
Bot12,"Авдей Дипишмот (Junko Space Mommy)",hard,1,Failed,"Underground North","Underground North: Objective #2","1","17:37:28","17:37:31",
Bot12,"Авдей Дипишмот (Junko Space Mommy)",hard,1,Failed,"Underground North","Underground North: Objective #3","1","17:37:36","17:37:42",
Bot12,"Авдей Дипишмот (Junko Space Mommy)",hard,1,Failed,"Underground North","Underground North: Objective #4","1","17:37:47","17:37:53",
Bot12,"Авдей Дипишмот (Junko Space Mommy)",hard,1,Active,"Underground North","Underground North: Objective #5","1","17:37:58","N/A",
Bot15,"Пётр Штопор (MacrossMX7167)",easy,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","17:38:07","N/A",
Bot14,"Лева РХБЗ (InternalError_)",easy,1,Active,"VEX Camping","VEX Camping: Objective #1","2","17:38:07","N/A",
Bot18,"Кэл Ковальски (SUPERBUBU3000)",easy,1,Active,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","2","17:39:05","N/A",
Bot17,"Мишаня Полторашка (TheRedCap)",easy,1,Active,"Capital Insight Stairwell Camping","Capital Insight Stairwell Camping: Objective #1","2","17:39:06","N/A",
